date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2002-07-30,40.93787908906598,41.01299522765443,40.82270050048828,40.82270050048828,40.82270050048828,6100,0.0,0.0
2002-07-31,41.03802136217676,41.46367810327567,41.01298520247743,41.328468322753906,41.328468322753906,29400,0.0,0.0
2002-08-01,41.333478023819495,41.57384502934046,41.333478023819495,41.5638313293457,41.5638313293457,25000,0.0,0.0
2002-08-02,41.64398889274493,42.11470957320216,41.503770238825425,41.98951721191406,41.98951721191406,52800,0.0,0.0
2002-08-05,42.08463177264771,42.284940158436896,41.98948442977079,42.17477035522461,42.17477035522461,61100,0.0,0.0
2002-08-06,41.9994872154293,42.01450967049424,41.67398668028983,41.81420135498047,41.81420135498047,64900,0.0,0.0
2002-08-07,41.86427629467089,42.13469193988181,41.74409283698711,41.91435241699219,41.91435241699219,40300,0.0,0.0
2002-08-08,41.854262598431916,41.94940608467343,41.74409283698711,41.91435241699219,41.91435241699219,40900,0.0,0.0
2002-08-09,42.064596561145585,42.505271911621094,42.064596561145585,42.505271911621094,42.505271911621094,35900,0.0,0.0
2002-08-12,42.71559845374062,43.41667201740307,42.63547357757098,42.76567459106445,42.76567459106445,32100,0.0,0.0
2002-08-13,42.955966685655255,43.30149853816003,42.75065337050981,43.291481018066406,43.291481018066406,75400,0.0,0.0
2002-08-14,43.79727984784722,44.01761954898755,43.44173412500391,43.456756591796875,43.456756591796875,130000,0.0,0.0
2002-08-15,43.256429968513444,43.31652363103495,42.991022978365095,43.07615280151367,43.07615280151367,87100,0.0,0.0
2002-08-16,43.28646917338206,43.3265277856728,42.47522210061327,42.59540557861328,42.59540557861328,85000,0.0,0.0
2002-08-19,42.590418093884445,42.73563778650808,42.42015459475862,42.725624084472656,42.725624084472656,47300,0.0,0.0
2002-08-20,42.87584671579922,43.2113610567248,42.865829195451376,43.20134353637695,43.20134353637695,40800,0.0,0.0
2002-08-21,42.90588681990178,43.116208876824615,42.88084684240728,42.970985412597656,42.970985412597656,40000,0.0,0.0
2002-08-22,42.840785114424975,42.840785114424975,42.59540557861328,42.59540557861328,42.59540557861328,34400,0.0,0.0
2002-08-23,42.66556088648049,43.04113802041278,42.66556088648049,43.0161018371582,43.0161018371582,20100,0.0,0.0
2002-08-26,42.9159032919311,43.17129656073558,42.90088083268926,43.056121826171875,43.056121826171875,23900,0.0,0.0
2002-08-27,42.76569341203452,42.905908186474846,42.66553727274425,42.78572463989258,42.78572463989258,301800,0.0,0.0
2002-08-28,43.08616359281158,43.15627094452127,42.986007504251944,43.001033782958984,43.001033782958984,18100,0.0,0.0
